human	Homo sapiens
chimpanzee	Pan troglodytes
cow	Bos taurus
dog	Canis lupus
gorilla	Gorilla gorilla
macaque	Macaca mulatta
mouse	Mus musculus
orangutan	Pongo abelii
pig	Sus scrofa
rabbit	Oryctolagus cuniculus
rat	Rattus norvegicus
cat	Felis catus
horse	Equus caballus
goat	Capra hircus
bonobo	Pan paniscus
drill	Mandrillus leucophaeus
gibbon	Nomascus leucogenys
squirrel-monkey	Saimiri boliviensis
baboon	Papio anubis
marmoset	Callithrix jacchus
chicken	Gallus gallus
duck	Anas zonorhyncha
goose	Anser brachyrhynchus
turkey	Meleagris gallopavo
finch	Geospiza fortis
owl	Otus sunia
western-clawed-frog	Xenopus tropicalis
zebrafish	Danio rerio
lizard	Podarcis muralis
indian-glassy-fish	Parambassis ranga
eastern-brown-snake	Pseudonaja textilis
chameleon	Anolis carolinensis
snapping-turtle	Chelydra serpentina
zig-zag-eel	Mastacembelus armatus
rope-fish	Erpetoichthys calabaricus
toad	Leptobrachium leishanense
tuatara	Sphenodon punctatus
komodo-dragon	Varanus komodoensis
crocodile	Crocodylus porosus
roundworm	Caenorhabditis elegans
fruit-fly	Drosophila melanogaster
golden-apple-snail	Pomacea canaliculata
japanese-scallop	Mizuhopecten yessoensis
sponge	Amphimedon queenslandica
starlet-sea-anemone	Nematostella vectensis
asian-swallowtail-butterfly	Papilio xuthus
lobster	Homarus americanus
shrimp	Penaeus vannamei
coral	Pocillopora damicornis
mosquito	Anopheles darlingi
mountain-pine-beetle	Dendroctonus ponderosae
octopus	Octopus vulgaris
spider-mite	Tetranychus urticae
californian-leech	Helobdella robusta
sweat-bee	Dufourea novaeangliae
limpet	Lottia gigantea
ant	Atta cephalotes
water-flea	Daphnia pulex
Saccharomyces-cerevisiae	Saccharomyces cerevisiae
Schizosaccharomyces-pombe	Schizosaccharomyces pombe
Torulaspora-delbrueckii	Torulaspora delbrueckii
Lachancea-lanzarotensis	Lachancea lanzarotensis
Pseudogymnoascus-verrucosus	Pseudogymnoascus verrucosus
Kluyveromyces-lactis	Kluyveromyces lactis
Ustilago-maydis	Ustilago maydis
Agaricus-bisporus	Agaricus bisporus
Laetiporus-sulphureus	Laetiporus sulphureus
Gloeophyllum-trabeum	Gloeophyllum trabeum
Pleurotus-ostreatus	Pleurotus ostreatus
Penicillium-expansum	Penicillium expansum
Phycomyces-blakesleeanus	Phycomyces blakesleeanus
Fusarium-venenatum	Fusarium venenatum
Batrachochytrium-dendrobatidis	Batrachochytrium dendrobatidis
Bipolaris-zeicola	Bipolaris zeicola
Candida-parapsilosis	Candida parapsilosis
Dichomitus-squalens	Dichomitus squalens
Coprinopsis-cinerea	Coprinopsis cinerea
Arabidopsis-thaliana	Arabidopsis thaliana
Brachypodium-distachyon	Brachypodium distachyon
Erythranthe-guttata	Erythranthe guttata
Glycine-max	Glycine max
Chlamydomonas-reinhardtii	Chlamydomonas reinhardtii
Citrus-clementina	Citrus clementina
Prunus-persica	Prunus persica
Amborella-trichopoda	Amborella trichopoda
Manihot-esculenta	Manihot esculenta
Sorghum-bicolor	Sorghum bicolor
Solanum-lycopersicum	Solanum lycopersicum
Nicotiana-sylvestris	Nicotiana sylvestris
Lactuca-sativa	Lactuca sativa
Sesamum-indicum	Sesamum indicum
Vitis-vinifera	Vitis vinifera
Theobroma-cacao	Theobroma cacao
Cucumis-sativus	Cucumis sativus
Eutrema-salsugineum	Eutrema salsugineum
Ricinus-communis	Ricinus communis
